symptoms,label
"itching, skin_rash, nodal_skin_eruptions, dischromic _patches",home-care
"skin_rash, nodal_skin_eruptions, dischromic _patches",home-care
"itching, nodal_skin_eruptions, dischromic _patches",home-care
"itching, skin_rash, dischromic _patches",home-care
"itching, skin_rash, nodal_skin_eruptions",home-care
"skin_rash, nodal_skin_eruptions, dischromic _patches",home-care
"itching, nodal_skin_eruptions, dischromic _patches",home-care
"itching, skin_rash, dischromic _patches",home-care
"itching, skin_rash, nodal_skin_eruptions",home-care
"itching, skin_rash, nodal_skin_eruptions, dischromic _patches",home-care
"continuous_sneezing, shivering, chills, watering_from_eyes",home-care
"shivering, chills, watering_from_eyes",home-care
"continuous_sneezing, chills, watering_from_eyes",home-care
"continuous_sneezing, shivering, watering_from_eyes",home-care
"continuous_sneezing, shivering, chills",home-care
"shivering, chills, watering_from_eyes",home-care
"continuous_sneezing, chills, watering_from_eyes",home-care
"continuous_sneezing, shivering, watering_from_eyes",home-care
"continuous_sneezing, shivering, chills",home-care
"continuous_sneezing, shivering, chills, watering_from_eyes",home-care
"stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain",home-care
"stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain",home-care
"stomach_pain, acidity, vomiting, cough, chest_pain",home-care
"stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain",home-care
"stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain",home-care
"stomach_pain, acidity, ulcers_on_tongue, vomiting, cough",home-care
"acidity, ulcers_on_tongue, vomiting, cough, chest_pain",home-care
"stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain",home-care
"stomach_pain, acidity, vomiting, cough, chest_pain",home-care
"stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain",home-care
"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes",home-care
"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes",home-care
"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain",home-care
"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",home-care
"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination",home-care
"itching, stomach_pain, burning_micturition, spotting_ urination",home-care
"itching, skin_rash, burning_micturition, spotting_ urination",home-care
"itching, skin_rash, stomach_pain, spotting_ urination",home-care
"itching, skin_rash, stomach_pain, burning_micturition",home-care
"skin_rash, stomach_pain, burning_micturition, spotting_ urination",home-care
"itching, stomach_pain, burning_micturition, spotting_ urination",home-care
"itching, skin_rash, burning_micturition, spotting_ urination",home-care
"itching, skin_rash, stomach_pain, spotting_ urination",home-care
"itching, skin_rash, stomach_pain, burning_micturition",home-care
"vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching",home-care
"vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching",home-care
"indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching",home-care
"vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching",home-care
"vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching",home-care
"vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching",home-care
"vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching",home-care
"vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases",home-care
"vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching",home-care
"vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching",home-care
